SMILES,proteinID,ligandID,mean,median,max,min,var
O=C(C1=C(F)C(O)=C(F)C=C1)N1CC(=O)N(C2=CC=CC=C2)C2=CC=CC=C21,7RDY-zinc,290,-8.222727272727273,-8.05,-7.8,-8.7,0.1468338557993723
O=C(NC(C(=O)O)C1=CC=CC(C2=CC=NC=C2)=C1)C1=CC=CC2=NC(O)=CC=C12,7RDY-zinc,62,-8.222727272727273,-8.4,-7.6,-8.6,0.1132706374085687
O=C(C1=CC=CC=C1)C1=CC=C(C2=NC(C3=NC(O)=CC=C3F)=NO2)C=C1,7RDY-no-extra,654,-8.220454545454546,-8.15,-7.5,-8.9,0.198887147335423
COC1=CC=CC(CC(NC(=O)C2=CC=C(N3C=CN=C3)C=N2)C2=CC=CC=C2)=C1,7RDY-zinc,975,-8.220454545454546,-8.149999999999999,-8.0,-8.6,0.0280825496342741
O=C(NC1=CC=CN=C1)C1=CC=C(CNC(=O)C2=NOC=C2C2=CC=CC=C2)C=C1,7RDY-no-extra,636,-8.219318181818181,-8.3,-7.7,-8.7,0.0914615987460816
O=C(NCC1=CC=CC=C1OC1=CC=CC=N1)C1=NOC(C2=CC(F)=CC=C2)=N1,7RDY-zinc,842,-8.217045454545454,-8.4,-7.4,-8.7,0.1851084117032405
COC(=O)C(NC(=O)C1=CN=C2C(=C1)C(C)=NN2C1=CC=CC=C1)C1=CC=C(F)C=C1F,7RDY-no-extra,604,-8.215909090909092,-8.3,-6.3,-9.0,0.2792842215256013
CC1=NC2=C(C3=CC=C(COC(=O)C4=CC=CC=C4O)C=C3)C=CC=C2C(=O)N1C,7RDY-no-extra,218,-8.213636363636365,-8.0,-7.5,-9.0,0.1850992685475443
O=C(NC1=NOC=C1C1=CC=C(F)C=C1F)C1=CC(=O)N(C2=CC=CC=C2)N=C1,7RDY-zinc,102,-8.213636363636363,-8.3,-7.1,-8.6,0.1910762800417971
N#CC1=C(NC(=O)NC2=CC=C(C3=CNC=N3)C=C2)C=CN(C2=CC=CC=C2)C1=O,7RDY-zinc,900,-8.211363636363636,-8.45,-7.0,-9.2,0.519869383490072
O=C(NCC1=CC=C(C2=CNC(=O)C=C2)C=C1)C1=C(F)N(C2=CC=CC=C2)N=C1,7RDY-no-extra,206,-8.210227272727273,-8.0,-7.0,-9.3,0.3956413270637401
O=C(NC1=CC=CN=C1)C1=CC=C(CNC(=O)C2=CC=C3C=CN=C(O)C3=N2)C=C1,7RDY-no-extra,768,-8.209090909090909,-8.1,-7.6,-8.7,0.1629049111807726
O=C(NC1=CC=CC(OCC2=CC=CC=N2)=C1)C1=CN=CN1C1=CC=C(O)C=C1,7RDY-no-extra,377,-8.207954545454546,-8.3,-7.5,-8.5,0.0389015151515146
O=C(NC(C1=CC=CC(C(F)(F)F)=C1)C1=NN=CN1)C1=NN(C2=CC=CC=C2F)C=C1O,7RDY-zinc,196,-8.206818181818182,-8.4,-7.1,-8.9,0.4098380355276902
O=C(CCC1=CN=CC=N1)OCC(=O)C1=C(C2=CC=C(F)C=C2)NC2=CC=CC=C12,7RDY-no-extra,274,-8.206818181818182,-8.3,-6.5,-8.9,0.5107575757575761
NC1=NN(CC2=CC=CC=C2)C=C1C(=O)NCC1=CC(C2=CC(O)=CC=C2)=CC=C1,7RDY-zinc,825,-8.20681818181818,-8.25,-7.4,-8.7,0.1440909090909091
O=C(NC1=CC=C(N2C=CC=CC2=O)C=C1)NC1=CN(CC2=CC=CC=C2)C=N1,7RDY-no-extra,547,-8.205681818181818,-8.3,-7.1,-9.1,0.5000822884012542
CN1C(C(=O)NC2=CC(C#N)=CC(C3=CC=NC=C3)=C2)=CC2=CC=CC=C2C1=O,7RDY-no-extra,525,-8.204545454545455,-8.0,-7.7,-8.8,0.1542319749216299
O=C(NC1=CC=CC=C1CC1=CC=CN=C1)C1=CC=CC(C2=NNC(=O)C=C2)=C1,7RDY-no-extra,619,-8.204545454545455,-8.2,-7.4,-8.8,0.1813584117032395
O=C(NCC1=C(C2=CC=C(F)C=C2F)OC=N1)C1=CN=CN1C1=CC(F)=CC=C1,7RDY-zinc,927,-8.202272727272726,-8.4,-6.8,-8.7,0.2673510971786841
CC1=CN2C(C(=O)NCC3=CC=C(C(=O)NC4=CC=C(F)C=C4)C=C3)=CN=C2C=C1,7RDY-zinc,749,-8.201136363636364,-8.0,-7.2,-8.9,0.1936768547544404
O=C(CC1=CC=CC=C1OC1=CC=NC=C1)NC1=CC=C(C2=CNC(=O)N2)C=C1,7RDY-zinc,572,-8.201136363636364,-8.350000000000001,-7.3,-8.8,0.1798837513061655
O=C(NCC1=CC=C(OC2=CC(F)=CC=C2)C=C1)C1=CC=C2C=NNC(=O)C2=C1,7RDY-zinc,723,-8.201136363636364,-8.2,-7.7,-8.5,0.0414929467084639
FC1=CC=C(N2C=CC(CNC(C3=CC=CC(C(F)(F)F)=C3)C3=NN=CN3)=N2)C(F)=C1,7RDY-zinc,402,-8.198863636363637,-8.05,-7.3,-8.9,0.2191940961337518
O=C(NC1=CC=CC=C1C1=CNC=N1)C1=CN(C2=CC=CC=C2F)C(=O)C=C1,7RDY-no-extra,227,-8.197727272727272,-8.0,-7.3,-9.3,0.4303396029258106
NC(=O)C1=CC=C(CC2=NOC(C3=CC(C4=C(F)C=C(F)C=C4F)=NO3)=N2)C=C1,7RDY-zinc,679,-8.196590909090908,-8.5,-6.5,-8.6,0.2007928422152555
CC1=CC(C(=O)OCC2=NC=C(C3=CC=CC(C4=CC=CC=C4)=C3)O2)=NNC1=O,7RDY-no-extra,481,-8.193181818181818,-8.3,-6.5,-9.5,0.9330564263322866
CN1C(=O)NC2=CC(C(=O)NC3=CC=C(C4=CSC(C(F)(F)F)=N4)C=C3)=CC=C2C1=O,7RDY-no-extra,624,-8.192045454545454,-8.2,-7.4,-9.3,0.4605107105538146
O=C(NC1=CC(NC(=O)C2=CN=CN2)=CC=C1)C1=CC=CC(CC2=CC=CC=N2)=C1,7RDY-zinc,752,-8.19090909090909,-8.1,-7.4,-9.1,0.2801462904911203
O=C(NCC1=CC=C(C2=CNC(=O)C=C2)C=C1)C1=CN(C2=CC=CC=C2)C(=O)C=C1,7RDY-no-extra,293,-8.188636363636364,-8.25,-7.1,-8.7,0.085616509926855
O=C(NC1=CC=C(C2=CNC(=O)N2)C=C1)C1=CC(CC2=CC=CC=C2)=CC=C1O,7RDY-zinc,994,-8.188636363636364,-8.15,-7.4,-9.0,0.2056165099268551
