EOS,Conformation,Affinity,Smile
EOS609,3,-6.139,CCCCC(=O)Nc1nonc1-c1ccc(OC(C)C)cc1
EOS610,6,-6.035,CCSc1nc(=O)c2c(n1C)NC(=O)CC2c1ccc(OC(C)C)cc1
EOS611,1,-6.164,COCCNCc1ccc2c(c1)n(C)c(=O)n2C.Cl
EOS612,6,-6.35,CC(=O)N(C)Cc1nc2ccccc2n1CC(=O)N(c1ccccc1)C(C)C
EOS613,3,-6.411,CSc1nc(C)cc(Nc2ccc(S(N)(=O)=O)cc2)n1
EOS614,6,-7.602,CC(=O)Nc1nonc1-c1nnc(SCC(=O)Nc2ccc(Cl)cc2)n1C
EOS615,1,-5.857,CCOc1ccc2c(c1)cc(C(=O)NC(C)C)n2C
EOS616,2,-7.036,CC(=O)Nc1nnc(C2CC(=O)N(c3ccc(C)c(Cl)c3)C2)s1
EOS617,3,-8.437,O=C1CC(C(=O)N2CCN(c3ccccc3)CC2)CN1CCc1c[nH]c2ccc(F)cc12
EOS618,3,-6.622,CCn1c(CN2CCN(S(C)(=O)=O)CC2)nc2cc(NC(=O)CC(C)C)ccc21
EOS619,1,-7.015,Cn1c(CN2CCOCC2)nc2cc(NC(=O)C3CCCCC3)ccc21
